E[GeV],EF[cm^-2s^-1sr^-1]
5319813.587112357, 2.813727358155058e-15
12462854.645894427, 1.4171053250274781e-15
31420359.90595201, 8.113359681118772e-16
79214517.4335942, 4.3567243967621647e-16
195360452.88595626, 2.1524270035680275e-16
496155180.00965446, 1.0102419139990222e-16
1250867057.9931092, 5.637522471378329e-17
3153586740.2248964, 2.9130242450321316e-17
7834727653.892349, 1.2823359239088069e-17
19897787152.00245, 8.134730973182811e-18
49433789552.254395, 5.644942449591301e-18
98542936103.16669, 5.328490567756232e-18
